Episode;AvgDrag;AvgLift;AvgRecircArea
1;-1.0053753852844238;-0.5888420343399048;0.8445215225219727
2;-0.9527738818573952;-0.27491799031217795;2.3216186695861816
3;-0.89072491481781;-0.09132685792858947;3.179831742696762
4;-0.8770134647774697;-0.022684258813166415;3.3874981452083586
5;-0.8713134166908264;0.1414364825748027;3.1101062925434113
6;-0.8724078123807907;0.06208628461857759;3.440619523841143
7;-0.8628055772995948;0.14679445104019462;3.4285057822299003
8;-0.8596610815238953;0.18051706298569684;3.4155416336154936
9;-0.8581101443958282;0.18585162707735087;3.4310077294492722
10;-0.857564186680317;0.17907389051396372;3.417507616658211
11;-0.8608291373682022;0.17428566561821382;3.321774475970268
12;-0.8610575264239311;0.18067633518739545;3.288295688753128
13;-0.8618510173392295;0.17937055891121942;3.274997338385582
14;-0.8604229095339775;0.18004219708490884;3.320637908489704
