Episode;Step;State
1;125;-1.1106226102897905
1;125;-1.0703808654627456
1;125;-1.0644182332192476
1;125;-1.0614028720440771
1;125;-1.059369934558349
1;125;-1.0573369970726207
1;125;-1.0567254333694955
1;125;-1.0575352434489327
1;125;-1.0583450535283694
1;125;-1.0592238160420737
1;125;-1.0603094358585634
1;125;-1.0613950556750533
1;125;-1.062480675491535
1;125;-1.0632083369264027
1;125;-1.0639359983612706
1;125;-1.0646636597961383
1;125;-1.0649115568523468
1;125;-1.0649995324490296
1;125;-1.0650875080457123
1;125;-1.0648247231302586
1;125;-1.0642111777027266
1;125;-1.063597632275194
1;125;-1.0628138539545282
1;125;-1.0615193769545992
1;125;-1.0602248999546702
1;125;-1.0589304229547065
1;125;-1.0570547097526615
1;125;-1.0551789965506162
1;125;-1.0533032833485712
1;125;-1.0511070540498855
1;125;-1.0488039860523588
1;125;-1.0465009180548321
1;125;-1.0440716550775058
1;125;-1.0415161971204197
1;125;-1.038960739163333
1;125;-1.0363979429295012
1;125;-1.0338131318654402
1;125;-1.0312283208013788
1;125;-1.02864350973733
1;125;-1.0262614498471658
1;125;-1.0238793899570016
1;125;-1.021497330066837
1;125;-1.019424456550305
1;125;-1.0174546451582884
1;125;-1.0154848337662719
1;125;-1.0138169457703274
1;125;-1.0124509811704019
1;125;-1.0110850165704763
1;125;-1.0098982717961007
1;125;-1.0092491864982762
1;125;-1.0086001012004513
1;125;-1.0079510159026484
1;125;-1.0081286013820372
1;125;-1.0083061868614258
1;125;-1.0084837723408147
1;125;-1.0092580017107249
1;125;-1.0102311123774572
1;125;-1.0112042230441893
1;125;-1.01205450959662
1;125;-1.0127819720347524
1;125;-1.013509434472885
1;125;-1.0130492735067216
1;125;-1.0090262423276704
1;125;-0.9623370624223279
1;125;0.09512441605329514
1;125;0.08997756987810135
1;250;-0.41006124120149573
1;250;-0.3415410248349842
1;250;-0.3309735679684383
1;250;-0.3244832137919021
1;250;-0.3193518938453691
1;250;-0.3142205738988361
1;250;-0.3114632827119409
1;250;-0.3110800202846155
1;250;-0.3106967578572901
1;250;-0.3106931198383701
1;250;-0.3118283550445768
1;250;-0.3129635902507834
1;250;-0.31409882545699996
1;250;-0.3156701704075852
1;250;-0.3172415153581705
1;250;-0.3188128603087558
1;250;-0.32031173108966604
1;250;-0.321786443814022
1;250;-0.32326115653837795
1;250;-0.3246078650707589
1;250;-0.32582656941118604
1;250;-0.3270452737516131
1;250;-0.3281759633290896
1;250;-0.3290426086177855
1;250;-0.32990925390648135
1;250;-0.3307758991951578
1;250;-0.33131792639152613
1;250;-0.33185995358789433
1;250;-0.33240198078426253
1;250;-0.3327513983742261
1;250;-0.3330366127620784
1;250;-0.33332182714993075
1;250;-0.3335236327399138
1;250;-0.3336420295320539
1;250;-0.333760426324194
1;250;-0.3338747981743984
1;250;-0.33397709519880014
1;250;-0.3340793922232019
1;250;-0.3341816892476109
1;250;-0.33440183754900804
1;250;-0.33462198585040526
1;250;-0.3348421341518025
1;250;-0.33524732942246077
1;250;-0.3357142070161889
1;250;-0.33618108460991714
1;250;-0.3368240258503619
1;250;-0.3376430307374923
1;250;-0.3384620356246226
1;250;-0.33938166115478774
1;250;-0.3406031486140011
1;250;-0.34182463607321434
1;250;-0.34304612353243746
1;250;-0.3446403050399113
1;250;-0.34623448654738515
1;250;-0.34782866805485896
1;250;-0.3495612958932723
1;250;-0.3513400725086611
1;250;-0.35311884912405
1;250;-0.35436330931357196
1;250;-0.3550734530772439
1;250;-0.35578359684091587
1;250;-0.3549041224852112
1;250;-0.34925579377137617
1;250;-0.31568837975381836
1;250;0.07326280325651169
1;250;0.09728644043207169
1;375;-0.3086072460048828
1;375;-0.23258108092193094
1;375;-0.21931715835534957
1;375;-0.21050886506271682
1;375;-0.20318578152806693
1;375;-0.19586269799341707
1;375;-0.19114334081601492
1;375;-0.1890277099957861
1;375;-0.18691207917555733
1;375;-0.18532658818577266
1;375;-0.18533151668719502
1;375;-0.1853364451886174
1;375;-0.18534137369006168
1;375;-0.18630890010284365
1;375;-0.18727642651562565
1;375;-0.18824395292840765
1;375;-0.18945324472444203
1;375;-0.19074312498154666
1;375;-0.19203300523865133
1;375;-0.19339704227839244
1;375;-0.1948352361007577
1;375;-0.19627342992312297
1;375;-0.19771565009345793
1;375;-0.1991699493076987
1;375;-0.20062424852193947
1;375;-0.2020785477361818
1;375;-0.20355820131696234
1;375;-0.20503785489774284
1;375;-0.2065175084785234
1;375;-0.208041880069726
1;375;-0.2095811576643971
1;375;-0.2111204352590682
1;375;-0.21271923204406176
1;375;-0.21437754801935927
1;375;-0.21603586399465674
1;375;-0.21774704043621396
1;375;-0.21961679827649075
1;375;-0.22148655611676754
1;375;-0.22335631395706068
1;375;-0.2254912304465141
1;375;-0.2276261469359675
1;375;-0.22976106342542094
1;375;-0.23213685989505944
1;375;-0.23459294969140396
1;375;-0.23704903948774847
1;375;-0.239679922233419
1;375;-0.24248559792838464
1;375;-0.24529127362335035
1;375;-0.2481793329604529
1;375;-0.2513145432239203
1;375;-0.25444975348738763
1;375;-0.2575849637508606
1;375;-0.2609306421032015
1;375;-0.26427632045554245
1;375;-0.2676219988078834
1;375;-0.27101838206987783
1;375;-0.2744316669684219
1;375;-0.277844951866966
1;375;-0.28089060855475934
