Episode;AvgDrag;AvgLift;AvgRecircArea
1;-1.0046676397323608;-0.5595255494117737;0.8890241384506226
2;-0.9477613935303688;-0.2969741983292658;2.565652116994858
3;-0.8813483609175682;-0.07209710125421796;3.425468835493326
4;-0.8769227836704254;-0.018203395436469864;3.3498552521038056
5;-0.8718259450674057;0.12403020317466726;3.091442695279121
6;-0.8717326156544686;0.055126240165720035;3.4551266892385484
7;-0.8639836381602287;0.14081498070295842;3.417476896176338
8;-0.8596301627469063;0.1763438241866742;3.443101338098049
9;-0.8589771820068359;0.18898058176686522;3.3833484982776643
10;-0.8580635627579689;0.17517534257986062;3.379827593605518
11;-0.8612434188842774;0.17307932306808751;3.3420974662971497
12;-0.8600607111954689;0.17730611737367;3.316311811585426
13;-0.8623061592578888;0.1718121169296984;3.271911791057587
14;-0.8620605368566513;0.17868767366072294;3.2788047594821452
