Name;Episode;Step;RecircArea;Drag;Lift;Jet0;Jet1
Simu_maxF1_NbAct400_drag;1;29000;3.1867378;-0.86558115;0.14633024;0.04302109;0.08095684
Simu_maxF1_NbAct400_drag;1;29500;3.1137953;-0.8528515;0.20981303;0.030447148;0.09718921
Simu_maxF1_NbAct400_drag;1;30000;3.360504;-0.86215806;0.2244752;0.03344173;0.09472928
Simu_maxF1_NbAct400_drag;1;30500;3.4997506;-0.8664305;0.16579288;0.040808685;0.08038483
Simu_maxF1_NbAct400_drag;1;31000;3.053833;-0.8536322;0.16332246;0.0432299;0.09074209
Simu_maxF1_NbAct400_drag;1;31500;3.229949;-0.85964036;0.22657946;0.026426114;0.09743332
Simu_maxF1_NbAct400_drag;1;32000;3.4743433;-0.86352485;0.20239687;0.038544722;0.0883769
Simu_maxF1_NbAct400_drag;1;32500;3.1206815;-0.8704358;0.1355189;0.04156304;0.0746386
Simu_maxF1_NbAct400_drag;1;33000;3.0722153;-0.85006094;0.1929581;0.03542795;0.09645928
Simu_maxF1_NbAct400_drag;1;33500;3.33602;-0.8624859;0.23199008;0.02848541;0.096748
Simu_maxF1_NbAct400_drag;1;34000;3.451755;-0.865961;0.18187144;0.04089559;0.08422809
Simu_maxF1_NbAct400_drag;1;34500;3.0763223;-0.8618172;0.15038936;0.04359121;0.08485537
Simu_maxF1_NbAct400_drag;1;35000;3.1454368;-0.8560839;0.21863148;0.026947938;0.09747387
Simu_maxF1_NbAct400_drag;1;35500;3.4459896;-0.86298615;0.21652253;0.03639037;0.09267645
Simu_maxF1_NbAct400_drag;1;36000;3.213085;-0.8691555;0.14916268;0.040868796;0.07658396
Simu_maxF1_NbAct400_drag;1;36500;3.016849;-0.8514104;0.17739114;0.040114842;0.0943693
Simu_maxF1_NbAct400_drag;1;37000;3.260119;-0.861638;0.23129931;0.025875382;0.09742337
Simu_maxF1_NbAct400_drag;1;37500;3.4825897;-0.86555;0.19711447;0.03815455;0.08639512
Simu_maxF1_NbAct400_drag;1;38000;3.1450355;-0.8691598;0.1376272;0.042409427;0.07750278
Simu_maxF1_NbAct400_drag;1;38500;3.0814247;-0.85250103;0.20467061;0.031016089;0.09715543
Simu_maxF1_NbAct400_drag;1;39000;3.370457;-0.8632202;0.22919619;0.03132803;0.09590734
Simu_maxF1_NbAct400_drag;1;39500;3.4568763;-0.86729443;0.1699482;0.04108169;0.08145905
Simu_maxF1_NbAct400_drag;1;40000;3.0519803;-0.8567488;0.15470637;0.04331375;0.08815732
Simu_maxF1_NbAct400_drag;1;40500;3.1840572;-0.8593423;0.22451504;0.025578387;0.09755578
Simu_maxF1_NbAct400_drag;1;41000;3.4549456;-0.86476433;0.2014867;0.038604356;0.08821712
Simu_maxF1_NbAct400_drag;1;41500;3.131145;-0.871139;0.13357817;0.041291364;0.0736985
Simu_maxF1_NbAct400_drag;1;42000;3.0211108;-0.85024446;0.18882199;0.036368497;0.09615239
Simu_maxF1_NbAct400_drag;1;42500;3.286683;-0.8631387;0.23354077;0.027039073;0.097120084
Simu_maxF1_NbAct400_drag;1;43000;3.467242;-0.8665487;0.18613727;0.040096156;0.0847029
Simu_maxF1_NbAct400_drag;1;43500;3.0895805;-0.86441153;0.14548449;0.043412678;0.08271051
Simu_maxF1_NbAct400_drag;1;44000;3.1418211;-0.85533214;0.21548794;0.02708488;0.097491704
Simu_maxF1_NbAct400_drag;1;44500;3.403567;-0.8634092;0.22138725;0.034535103;0.09361861
Simu_maxF1_NbAct400_drag;1;45000;3.2624078;-0.8688167;0.15338531;0.040824063;0.07754316
Simu_maxF1_NbAct400_drag;1;45500;2.9945054;-0.8520154;0.1727825;0.0409668;0.09354485
Simu_maxF1_NbAct400_drag;1;46000;3.2365022;-0.8615786;0.23142308;0.025260828;0.0975317
Simu_maxF1_NbAct400_drag;1;46500;3.4911246;-0.8653874;0.19919652;0.037976213;0.08683596
Simu_maxF1_NbAct400_drag;1;47000;3.1446018;-0.87041426;0.13320328;0.04219068;0.07560926
Simu_maxF1_NbAct400_drag;1;47500;3.0780935;-0.85181564;0.20025691;0.032081343;0.09701734
Simu_maxF1_NbAct400_drag;1;48000;3.3395016;-0.86330324;0.2307327;0.030440114;0.096261166
Simu_maxF1_NbAct400_drag;1;48500;3.4599683;-0.86706734;0.17360745;0.04113107;0.08234454
Simu_maxF1_NbAct400_drag;1;49000;3.079319;-0.85806483;0.15317039;0.04326468;0.08729202
Simu_maxF1_NbAct400_drag;1;49500;3.179369;-0.8586954;0.22317833;0.025870927;0.097555004
Simu_maxF1_NbAct400_drag;1;50000;3.463544;-0.86436105;0.20479725;0.038285755;0.08916146
Simu_maxF1_NbAct400_drag;1;50500;3.1419127;-0.8709789;0.13552411;0.04109598;0.0737173
Simu_maxF1_NbAct400_drag;1;51000;3.0205498;-0.8501097;0.18562646;0.037001602;0.095710166
Simu_maxF1_NbAct400_drag;1;51500;3.301291;-0.8629022;0.23324235;0.02667243;0.097218044
Simu_maxF1_NbAct400_drag;1;52000;3.4583883;-0.8662678;0.19049227;0.039523415;0.08532601
Simu_maxF1_NbAct400_drag;1;52500;3.1217568;-0.86597556;0.14340666;0.043359406;0.08129961
Simu_maxF1_NbAct400_drag;1;53000;3.1138759;-0.8543247;0.21268046;0.027830906;0.097432695
Simu_maxF1_NbAct400_drag;1;53500;3.3487182;-0.863392;0.2238167;0.033697702;0.09433275
Simu_maxF1_NbAct400_drag;1;54000;3.290099;-0.8680542;0.15845339;0.040929683;0.078793995
Simu_maxF1_NbAct400_drag;1;54500;3.0153913;-0.8527673;0.16836855;0.041688062;0.092395715
Simu_maxF1_NbAct400_drag;1;55000;3.2474172;-0.8610209;0.23027809;0.025110982;0.097543485
Simu_maxF1_NbAct400_drag;1;55500;3.470075;-0.8648862;0.20016427;0.038159348;0.08726265
Simu_maxF1_NbAct400_drag;1;56000;3.0936058;-0.87099147;0.13205902;0.041802652;0.07445074
Simu_maxF1_NbAct400_drag;1;56500;3.0730393;-0.85083336;0.1950973;0.033894666;0.096743874
Simu_maxF1_NbAct400_drag;1;57000;3.3528156;-0.8632052;0.23137447;0.029579379;0.096541144
Simu_maxF1_NbAct400_drag;1;57500;3.441044;-0.86682546;0.17678803;0.041129164;0.08314898
Simu_maxF1_NbAct400_drag;1;58000;3.038707;-0.8596359;0.15215863;0.04351721;0.08646948
Simu_maxF1_NbAct400_drag;1;58500;3.1498387;-0.8578297;0.22133352;0.026434995;0.09754171
Simu_maxF1_NbAct400_drag;1;59000;3.4692926;-0.8638137;0.20981179;0.037649967;0.09068052
