Episode;AvgDrag;AvgLift;AvgRecircArea
1;-1.0469931364059448;-0.27144306898117065;1.1424121856689453
2;-0.9482483543801308;-0.2771805998612523;2.459571589677334
3;-0.8835766545200348;-0.08890512730123905;3.4554905289697646
4;-0.8745462419962883;-0.016321995267755574;3.424595574269295
5;-0.8700843160533905;0.1460878227293161;3.107654966375828
6;-0.8716736748456955;0.06313699457141574;3.449727709608078
7;-0.8619457301783562;0.14680821469068456;3.4876233334827424
8;-0.8608110093331337;0.1725990845605184;3.395352757229805
9;-0.8597152654385567;0.17291912475087623;3.3723514183521273
10;-0.8593088987278938;0.17752647680344788;3.3725910317873953
11;-0.8603590998220444;0.17714001031560125;3.333454440960884
12;-0.860462288968563;0.17219727021866973;3.3513987698316576
13;-0.8607113142299652;0.17558698796611222;3.314029658212662
14;-0.8615503935551644;0.17368815928863907;3.2871076004981994
