Episode;AvgDrag;AvgLift;AvgRecircArea
1;-0.9736499190330505;-0.3701915740966797;2.0086731910705566
2;-0.9510448397994041;-0.2535179730790457;2.4796741938352587
3;-0.8862789305567741;-0.07462785061990669;3.225666601104736
4;-0.8764826057815551;-0.023889071722265363;3.3803698809218408
5;-0.870052968761921;0.13204573323013835;3.1706851530599596
6;-0.8712752312374115;0.0661311979675632;3.43796236823082
7;-0.8648242070102692;0.14736352981146425;3.382927705831528
8;-0.8610741603207588;0.1702855411404486;3.374307913303375
9;-0.8589134384441376;0.17909705203303805;3.397939907873869
10;-0.859217127046585;0.17759190418123152;3.3551854273056985
11;-0.8622657151961327;0.17625277619395055;3.2920113308382035
12;-0.8609964372015;0.1751510954277373;3.2910705331230163
13;-0.8605688957595825;0.17594327286554218;3.30649549390316
14;-0.8612118591070175;0.1781333441417606;3.3149940713238717
