Episode;Step;PSR
1;124;-30.691875684860335
1;249;-2.694658786154867
1;374;-9.037251161265699
1;499;-18.46550893635487
1;624;-16.403234012860953
1;749;-27.255654635826293
1;874;-22.393399728133467
1;999;-23.297527302600493
1;1124;-16.360928303902053
1;1249;-15.479770581013632
1;1374;-14.222479087941164
1;1499;-17.41247333067908
1;1624;-21.953915713776237
1;1749;-96.99526431999327
1;1874;-1052.7608322724025
1;1999;-1529.0155599675008
1;2124;-4310.241289796171
1;2249;-3296.434262417528
1;2374;-834.3755305099774
1;2499;-222.31235404407596
1;2624;-76.50600516298135
1;2749;-28.951879188033995
1;2874;-14.879287590707067
1;2999;-22.33599864909097
1;3124;-25.967576581013077
1;3249;-27.958751101861747
1;3374;-14.306921037120894
1;3499;-6.365561777815814
1;3624;-9.230950228522842
1;3749;-27.30719391587523
1;3874;-116.1630543773845
1;3999;-240.56147901068843
1;4124;-82.69681620351203
1;4249;-33.87392989646673
1;4374;-33.67082251166381
1;4499;-40.41209008593981
1;4624;-24.795231108225206
1;4749;-24.977413253445384
1;4874;-25.019366982946483
1;4999;-23.81266451576885
1;5124;-19.557544476310582
1;5249;-14.711604387510576
1;5374;-21.56444261078194
1;5499;-33.17915128384987
1;5624;-57.851672381408136
1;5749;-123.41254898759549
1;5874;-123.82049349597295
1;5999;-143.28059436789673
1;6124;-110.59490839648014
1;6249;-75.03992568896642
1;6374;-64.69278791526843
1;6499;-43.171939228352635
1;6624;-32.58642754551513
1;6749;-37.76873060652699
1;6874;-32.059206653515915
1;6999;-36.742834476654885
1;7124;-44.14539510435495
1;7249;-51.80985848204952
1;7374;-87.48238095817064
1;7499;-129.22006527632138
1;7624;-148.90689463989622
1;7749;-133.84098255612528
1;7874;-96.83773609243316
1;7999;-50.58494435177617
1;8124;-35.31608017536302
1;8249;-39.41349897722418
1;8374;-45.0505925029765
1;8499;-51.90904612813022
1;8624;-62.987340489354146
1;8749;-74.48989488158976
1;8874;-78.43730086365166
1;8999;-82.99315214080804
1;9124;-100.96159568099073
1;9249;-148.0041453676442
1;9374;-191.27842873741318
1;9499;-171.53608652225543
1;9624;-111.73569133544996
1;9749;-63.604837356523426
1;9874;-34.73435948516791
1;9999;-30.000386923300148
1;10124;-36.242328152030026
1;10249;-34.74472805917005
1;10374;-32.97791707417247
1;10499;-33.967044895611686
1;10624;-29.668906568289614
1;10749;-34.23458591885043
1;10874;-40.808052542215165
1;10999;-51.21232084648556
1;11124;-88.74521991252686
1;11249;-177.02216104076737
1;11374;-260.7696617463362
1;11499;-262.37055406001355
1;11624;-250.91645999133888
1;11749;-110.36192518991336
1;11874;-38.09425107554049
1;11999;-25.1142405003577
1;12124;-25.072506103679636
1;12249;-25.892015241023483
1;12374;-23.76688238963909
1;12499;-20.1731979638855
1;12624;-19.377212164794795
1;12749;-20.243049571511495
1;12874;-25.01374543181898
